"id";"uri";"titulo";"entidade";"entidadeUF";"entidadePais";"anoInicio";"anoFim"
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Diretor de Patrimônio";"Assembleia Legislativa do Estado de Pernambuco";"PE";"BRASIL";"2003";"2005"
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Chefe de Gabinete do Deputado Guilherme Uchoa";"Assembleia Legislativa do Estado de Pernambuco";"PE";"BRASIL";"1999";"2003"
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Assistente Judiciário";"Tribunal de Justiça - Juizado de Pequenas Causas";"";"";"1995";"1999"
"220664";"https://dadosabertos.camara.leg.br/api/v2/deputados/220664";"Oficial de Gabinete";"Governo do Estado de Pernambuco";"";"";"1991";"1995"
"220658";"https://dadosabertos.camara.leg.br/api/v2/deputados/220658";"Vice-Presidente Administrativo";"Confederação Nacional do Comércio - CNC";"DF";"BRASIL";"2018";""
"220658";"https://dadosabertos.camara.leg.br/api/v2/deputados/220658";"Presidente";"Sistema Fecomércio - CE";"CE";"BRASIL";"1998";""
"220655";"https://dadosabertos.camara.leg.br/api/v2/deputados/220655";"Secretário Especial de Cultura";"Governo Federal";"DF";"BRASIL";"2020";"2022"
"220654";"https://dadosabertos.camara.leg.br/api/v2/deputados/220654";"Delegado de Polícia";"Secretaria de Segurança Pública";"SP";"BRASIL";"2012";""
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Secretária de Comunicação";"Câmara Municipal de Sorocaba";"SP";"BRASIL";"2010";"2011"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Professora Universtaria";"Fundação Dom Aguirre";"SP";"BRASIL";"2007";""
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Diretora de Jornalismo";"TV Sorocaba SBT";"SP";"BRASIL";"2005";"2015"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Editora";"EPTV";"SP";"BRASIL";"2005";"2005"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Apresentadora";"Tv Tem Bauru";"SP";"BRASIL";"2004";"2005"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Editora Chefe";"Tv Tem Itapetininga";"SP";"BRASIL";"2003";"2004"
"220651";"https://dadosabertos.camara.leg.br/api/v2/deputados/220651";"Professora";"Instituto Imaculada Conceição";"SP";"BRASIL";"2000";"2004"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Secretário de Desenvolvimento Econômico, Ciência e Tecnologia";"Governo do Estado de São Paulo";"SP";"BRASIL";"2011";"2012"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Secretário de Estado de Desenvolvimento Social";"Governo do Estado de São Paulo";"SP";"BRASIL";"2011";"2011"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Secretário Adjunto de Educação";"Governo do Estado de São Paulo";"SP";"BRASIL";"2004";"2006"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Diretor de Projetos Especiais";"Fundação para o Desenvolvimento da Educação";"SP";"BRASIL";"2003";"2004"
"220650";"https://dadosabertos.camara.leg.br/api/v2/deputados/220650";"Assistente Técnico de Administração Pública";"Governo do Estado de São Paulo";"SP";"BRASIL";"2002";"2003"
"220648";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";"Presidente do Comitê de Regularização Fundiária";"Secretaria de Habitação do Estado de São Paulo";"SP";"BRASIL";"2019";"2022"
"220648";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";"Secretário Executivo";"Secretaria de Habitação do Estado de São Paulo";"SP";"BRASIL";"2019";"2022"
"220648";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";"Secretário Municipal";"Secretaria de Habitação e Regularização Fundiária";"SP";"BRASIL";"2017";"2018"
"220644";"https://dadosabertos.camara.leg.br/api/v2/deputados/220644";"Procuradora Jurídica";"Federação Nacional das APAEs";"DF";"BRASIL";"2013";"2021"
"220644";"https://dadosabertos.camara.leg.br/api/v2/deputados/220644";"Procuradora Jurídica";"Federação das APAEs do Estado do Paraná - Feapaes";"PR";"BRASIL";"2009";"2022"
"220644";"https://dadosabertos.camara.leg.br/api/v2/deputados/220644";"Advogada";"Wolff Moro Sociedade de Advocacia";"PR";"BRASIL";"1996";"2022"
"220643";"https://dadosabertos.camara.leg.br/api/v2/deputados/220643";"Ministra de Estado";"Ministério dos Povos Indígenas do Brasil";"DF";"BRASIL";"2023";""
"220640";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Auxiliar de Parlamentar";"Assembleia Legislativa de São Paulo";"SP";"BRASIL";"2008";"2008"
"220640";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Assessora Especial";"Assembleia Legistativa";"SP";"BRASIL";"2007";"2008"
"220640";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Coordenadora de Participação Popular";"Secretaria Municipal do Verde e Meio Ambiente";"SP";"BRASIL";"2003";"2004"
"220640";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Auxiliar de Departamento Pessoal";"Casa da Criança Betinho";"SP";"BRASIL";"2000";"2002"
"220640";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Auxiliar Administrativo";"Partido dos Trabalhadores PT";"SP";"BRASIL";"1999";"2000"
"220640";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Atendente";"Mac Donald's Comércio de Alimentos";"SP";"BRASIL";"1996";"1998"
"220640";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Balconista";"Barketto Villas Boas Ltda.";"SP";"BRASIL";"1995";"1995"
"220640";"https://dadosabertos.camara.leg.br/api/v2/deputados/220640";"Balconista";"D'mitri  Modas ME";"SP";"BRASIL";"1995";"1995"
"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"Coordenador da Bancada Federal Paulista";"Câmara dos Deputados";"SP";"BRASIL";"2023";""
"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"Diretor de Planejamento";"Departamento de Estradas e Rodagem - DER";"SP";"BRASIL";"2019";"2022"
"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"Secretário Municipal";"Secretaria de Serviços Públicos de Guarulhos";"SP";"BRASIL";"1998";"1999"
"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"Chefe de Gabinete";"Secretaria das Administrações Regionais do Município de São Paulo";"SP";"BRASIL";"1995";"1996"
"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"Diretor Presidente";"Empresa Metropolitana de Transportes Urbanos de São Paulo";"SP";"BRASIL";"1991";"1994"
"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"Secretário Adjunto";"Secretaria de Esportes e Turismo do Estado de São Paulo";"SP";"BRASIL";"1989";"1990"
"220638";"https://dadosabertos.camara.leg.br/api/v2/deputados/220638";"ATL Procurador";"Assembleia Legislativa do Estado de São Paulo";"SP";"BRASIL";"1979";"1998"
"220637";"https://dadosabertos.camara.leg.br/api/v2/deputados/220637";"Ministra de Estado";"Ministério do Meio Ambiente e Mudança do Clima";"DF";"BRASIL";"2023";""
"220637";"https://dadosabertos.camara.leg.br/api/v2/deputados/220637";"Ministra de Estado";"Ministério do Meio Ambiente";"DF";"BRASIL";"2003";"2008"
"220633";"https://dadosabertos.camara.leg.br/api/v2/deputados/220633";"Ministro do Meio Ambiente";"Governo Federal";"DF";"BRASIL";"2019";"2021"
"220633";"https://dadosabertos.camara.leg.br/api/v2/deputados/220633";"Secretário de Meio Ambiente";"Governo do Estado de São Paulo";"SP";"BRASIL";"2016";"2017"
"220633";"https://dadosabertos.camara.leg.br/api/v2/deputados/220633";"Secretario Particular de Governo";"Governo do Estado de São Paulo";"SP";"BRASIL";"2013";"2014"
"220632";"https://dadosabertos.camara.leg.br/api/v2/deputados/220632";"Professora do Magistério Superior";"Fundação Universidade Federal de São João Del Rei";"MG";"BRASIL";"2017";""
"220627";"https://dadosabertos.camara.leg.br/api/v2/deputados/220627";"Sócio";"Destaque Promoções e Eventos";"RN";"BRASIL";"1988";"2022"
"220626";"https://dadosabertos.camara.leg.br/api/v2/deputados/220626";"Presidente";"Fundação de Ensino Superior Vale do Sapucaí";"MG";"BRASIL";"2013";"2016"
"220626";"https://dadosabertos.camara.leg.br/api/v2/deputados/220626";"Diretor";"Faculdade de Direito no Sul de Minas";"MG";"BRASIL";"2012";"2016"
"220626";"https://dadosabertos.camara.leg.br/api/v2/deputados/220626";"Presidente";"Fundação Sul Mineira de Ensino";"MG";"BRASIL";"2006";"2008"
"220626";"https://dadosabertos.camara.leg.br/api/v2/deputados/220626";"Professor";"Faculdade de Direito do Sul de Minas";"MG";"BRASIL";"1994";""
"220624";"https://dadosabertos.camara.leg.br/api/v2/deputados/220624";"Secretário de Estado do Meio Ambiente e Recursos Hídricos";"Governo do Estado do Rio Grande do Norte";"RN";"BRASIL";"2011";"2011"
"220621";"https://dadosabertos.camara.leg.br/api/v2/deputados/220621";"Professor";"Prefeitura Municipal de Natal";"RN";"BRASIL";"2012";"2014"
"220621";"https://dadosabertos.camara.leg.br/api/v2/deputados/220621";"Policial Militar";"Polícia Militar do Estado do Rio Grande do Norte";"";"";"2004";""
"220619";"https://dadosabertos.camara.leg.br/api/v2/deputados/220619";"Diretor-Geral";"Agência Brasileira de Inteligência - ABIN";"DF";"BRASIL";"2019";"2022"
"220619";"https://dadosabertos.camara.leg.br/api/v2/deputados/220619";"Delegado Federal";"Polícia Federal";"RJ";"BRASIL";"2005";""
"220618";"https://dadosabertos.camara.leg.br/api/v2/deputados/220618";"1º Sargento";"Secretaria de Estado de Polícia Militar";"RJ";"BRASIL";"2000";"2022"
"220617";"https://dadosabertos.camara.leg.br/api/v2/deputados/220617";"Secretário de Governo";"Prefeitura de Itaperuna";"RJ";"BRASIL";"2021";"2022"
"220617";"https://dadosabertos.camara.leg.br/api/v2/deputados/220617";"Secretário de Governo";"Prefeitura de Itaperuna";"RJ";"BRASIL";"2013";"2015"
